Date,Open,High,Low,Close,Volume
2023-12-15,37.5,38.4,36.8,37.6,1289280
2023-12-18,37.94,37.94,37.3,37.3,108160
2023-12-19,37.19,37.19,36.5,36.7,164514
2023-12-20,36.7,36.8,36.515,36.6,115053
2023-12-21,36.51,37.06,36.51,36.89,56232
2023-12-22,37.0,37.5,36.9,37.48,17055
2023-12-27,37.7,37.8,37.24,37.41,13898
2023-12-28,37.6,37.8,36.41,37.0,120420
2023-12-29,37.01,37.385,36.805,36.9,67335
2024-01-02,37.0,37.5,36.665,36.75,28215
2024-01-03,36.75,37.08,36.61,36.8,12727
2024-01-04,36.98,38.5,36.8,38.2,289610
2024-01-05,38.5,38.5,37.65,37.88,16428
2024-01-08,37.835,38.5,37.345,38.05,23448
2024-01-09,38.29,38.415,38.05,38.1,26951
2024-01-10,38.15,38.295,37.36,37.7,31814
2024-01-11,37.7,37.875,36.7,36.84,38437
2024-01-12,36.8,37.24,36.7,36.82,15409
2024-01-15,37.5,37.5,36.415,36.415,27409
2024-01-16,36.305,37.5,36.3,37.15,31229
2024-01-17,37.19,37.36,36.88,37.15,25395
2024-01-18,37.2,37.65,37.155,37.54,6126
2024-01-19,37.54,39.195,37.54,38.985,21096
2024-01-22,39.0,39.5,37.855,38.45,46267
2024-01-23,38.45,38.87,37.86,38.4,75388
2024-01-24,38.45,38.45,37.8,37.935,8896
2024-01-25,37.725,38.0,37.67,37.67,5036
2024-01-26,37.72,38.155,37.72,37.81,3638
2024-01-29,37.8,38.15,37.665,38.15,5047
2024-01-30,38.15,38.725,38.065,38.065,3364
2024-01-31,38.05,39.195,38.05,39.0,6799
2024-02-01,39.06,39.5,39.0,39.0,106780
2024-02-02,39.0,39.5,39.0,39.2,64771
2024-02-05,39.2,40.885,39.12,40.5,25319
2024-02-06,41.0,42.9,40.605,41.5,67833
2024-02-07,41.6,42.215,40.895,41.835,28269
2024-02-08,42.0,44.49,42.0,43.0,37267
2024-02-09,42.995,42.995,41.9,42.48,9113
2024-02-12,42.52,42.73,42.0,42.44,14191
2024-02-13,42.455,42.5,40.445,41.0,22365
2024-02-14,40.8,41.19,40.8,41.015,3607
2024-02-15,41.105,41.99,41.105,41.4,2890
2024-02-16,41.4,41.96,40.755,41.3,14428
2024-02-19,41.39,41.39,40.545,40.9,8688
2024-02-20,41.265,41.88,40.9,41.5,28643
2024-02-21,41.22,41.575,40.88,41.21,13637
2024-02-22,40.9,41.765,40.85,41.765,8667
2024-02-23,41.765,41.765,40.6,40.805,18195
2024-02-26,41.26,41.26,40.35,40.69,10892
2024-02-27,40.685,40.685,39.8,40.2,25735
2024-02-28,40.15,40.2,39.335,39.8,17131
2024-02-29,39.7,40.375,39.36,40.0,18754
2024-03-01,40.0,40.5,39.735,40.3,5998
2024-03-04,40.3,40.45,39.94,40.0,4773
2024-03-05,40.0,40.25,39.86,40.25,15989
2024-03-06,40.25,41.8,40.11,41.8,28180
2024-03-07,41.525,41.69,40.74,41.0,5860
2024-03-08,41.235,41.235,40.405,40.9,6879
2024-03-11,40.825,40.875,40.155,40.66,3550
2024-03-12,40.12,40.26,39.85,40.0,8829
2024-03-13,40.0,40.0,39.505,39.76,5692
2024-03-14,39.99,40.0,39.6,39.7,12041
2024-03-15,39.72,40.03,39.205,39.3,6460
2024-03-18,39.205,40.0,39.0,39.9,88361
2024-03-19,39.51,39.995,39.51,39.78,3960
2024-03-20,39.735,40.0,39.52,39.94,10066
2024-03-21,39.94,41.365,39.7,40.94,69085
2024-03-22,41.085,41.685,41.085,41.37,7580
2024-03-25,41.3,42.99,41.3,42.21,33515
2024-03-26,42.88,43.9,42.65,43.2,82495
2024-03-27,43.2,44.2,43.2,43.95,18619
2024-03-28,43.97,44.0,43.62,43.845,11471
2024-04-02,43.9,45.0,42.14,43.9,25842
2024-04-03,43.92,44.2,43.0,43.56,27672
2024-04-04,43.6,43.88,41.0,41.92,66227
2024-04-05,42.0,42.5,41.62,42.5,17105
2024-04-08,42.5,42.5,41.94,42.02,10783
2024-04-09,42.5,42.96,41.8,41.84,23743
2024-04-10,42.2,43.0,42.1,42.5,30023
2024-04-11,42.5,42.84,42.22,42.26,10244
2024-04-12,42.4,42.6,42.12,42.12,6618
2024-04-15,42.14,43.3,42.14,42.9,13968
2024-04-16,42.78,42.78,41.8,42.0,26427
2024-04-17,42.0,42.96,41.82,42.46,13448
2024-04-18,42.44,43.1,41.98,42.84,13571
2024-04-19,42.2,42.46,41.86,42.08,11091
2024-04-22,42.0,42.54,41.88,42.54,14193
2024-04-23,42.5,42.88,42.02,42.76,6193
2024-04-24,42.78,43.94,42.78,43.92,13943
2024-04-25,43.94,43.94,42.86,43.64,29772
2024-04-26,43.78,43.78,42.88,43.7,6625
2024-04-29,43.76,43.76,42.2,42.52,17201
2024-04-30,42.7,42.92,42.38,42.7,19296
2024-05-02,42.5,42.7,41.0,41.0,16602
2024-05-06,41.2,41.36,39.72,41.1,55309
2024-05-07,40.88,42.38,40.48,42.18,32078
2024-05-08,42.0,42.32,42.0,42.0,6028
2024-05-09,42.24,42.24,42.0,42.0,5317
2024-05-10,42.26,42.6,41.42,41.6,20435
2024-05-13,41.22,41.6,40.76,40.78,8407
2024-05-14,40.64,41.1,40.34,40.5,42307
2024-05-15,40.48,41.5,40.46,40.86,21064
2024-05-16,40.9,41.5,40.62,40.9,4567
2024-05-17,40.9,40.92,40.4,40.5,41465
2024-05-20,40.86,41.06,40.6,40.8,3054
2024-05-21,41.0,41.06,40.7,40.98,2654
2024-05-22,40.84,41.18,39.76,39.92,30710
2024-05-23,40.4,40.56,40.02,40.16,19479
2024-05-24,40.22,40.22,39.9,39.9,5585
2024-05-27,40.1,40.5,39.66,39.9,41755
2024-05-28,39.9,40.0,39.22,39.24,10936
2024-05-29,39.24,39.24,38.04,38.06,20487
2024-05-31,38.06,38.12,37.62,38.1,9804
2024-06-03,38.1,38.88,38.1,38.54,9128
2024-06-04,38.8,38.86,38.24,38.42,7838
2024-06-05,38.58,38.8,38.28,38.8,5486
2024-06-06,39.0,39.0,38.04,38.2,16733
2024-06-07,38.2,39.2,38.2,38.4,8460
2024-06-10,38.3,39.52,38.3,38.96,4503
2024-06-11,39.02,39.2,38.32,38.48,72723
2024-06-12,38.58,38.76,38.32,38.32,2287
2024-06-13,38.34,38.8,38.3,38.68,3565
2024-06-14,38.68,38.68,36.82,38.0,6463
2024-06-17,38.32,38.32,37.8,37.9,2794
2024-06-18,38.0,38.0,37.18,37.3,10677
2024-06-19,37.2,37.68,37.0,37.34,4397
2024-06-20,37.64,37.68,37.2,37.22,2307
2024-06-21,37.2,38.62,37.06,38.62,18517
2024-06-24,38.62,38.62,37.72,37.76,1433
2024-06-25,37.8,38.6,37.74,37.84,13904
2024-06-26,37.6,38.48,37.6,37.66,2908
2024-06-27,37.66,38.78,37.66,38.7,1919
2024-06-28,38.76,39.98,38.14,39.98,7102
2024-07-01,39.98,40.28,38.84,39.84,6940
2024-07-02,39.8,40.6,39.76,39.76,13731
2024-07-03,39.76,40.22,38.3,38.6,10642
2024-07-04,38.7,39.08,37.7,38.2,26435
2024-07-05,38.32,38.32,38.08,38.3,8479
2024-07-08,38.2,38.24,37.7,38.22,7764
2024-07-09,38.2,38.5,37.42,37.72,23607
2024-07-10,38.28,38.28,37.5,37.5,3634
2024-07-11,37.5,37.6,37.06,37.1,9423
2024-07-12,37.5,37.6,37.12,37.46,4296
2024-07-15,37.46,37.46,37.12,37.46,2318
2024-07-16,37.46,37.48,37.06,37.48,5939
2024-07-17,37.48,37.48,36.9,37.0,8424
2024-07-18,36.9,37.26,36.82,36.82,3112
2024-07-19,36.8,37.3,36.74,37.3,12332
2024-07-22,37.3,37.3,36.76,36.98,2695
2024-07-23,37.44,37.44,36.66,36.86,1752
2024-07-24,37.3,37.3,36.56,36.84,780
2024-07-25,36.52,36.52,34.42,36.42,8204
2024-07-26,36.96,36.96,35.52,35.68,3900
2024-07-29,35.5,35.8,35.32,35.64,3357
2024-07-30,35.64,36.4,35.44,36.3,7137
2024-07-31,36.3,36.3,35.56,36.24,4393
2024-08-01,36.0,36.0,35.02,35.48,15297
2024-08-02,35.04,35.04,34.02,34.1,8096
2024-08-05,32.02,33.5,31.62,31.94,13475
2024-08-06,32.12,32.5,32.12,32.24,1066
2024-08-07,32.26,33.44,31.9,33.28,1923
2024-08-08,33.18,33.18,32.56,33.18,358
2024-08-09,33.3,33.7,33.0,33.58,583
2024-08-12,33.58,34.84,32.5,34.54,3058
2024-08-13,34.54,34.56,33.62,33.8,6026
2024-08-14,33.9,33.9,32.72,33.6,1790
2024-08-16,33.78,34.26,33.78,34.1,877
2024-08-19,33.84,34.5,33.06,34.5,11541
2024-08-20,34.5,34.5,33.1,34.0,4443
2024-08-21,34.0,34.16,33.8,33.92,1127
2024-08-22,34.0,34.0,33.62,33.8,3013
2024-08-23,33.9,33.9,33.32,33.84,1325
2024-08-26,33.84,33.84,33.5,33.82,125
2024-08-27,33.56,33.8,33.46,33.8,11580
2024-08-28,33.96,33.96,33.34,33.34,1535
2024-08-29,33.8,33.8,32.5,33.48,1797
2024-08-30,33.48,33.48,33.02,33.4,16476
2024-09-02,33.5,33.5,32.86,32.9,2231
2024-09-03,32.88,33.18,32.86,32.9,2518
2024-09-04,33.1,33.48,32.9,33.0,3703
2024-09-05,33.0,33.5,33.0,33.36,9367
2024-09-06,33.02,33.38,32.84,32.9,796
2024-09-09,33.0,33.0,32.2,32.42,1322
2024-09-10,32.12,32.6,32.12,32.16,2958
2024-09-11,32.38,32.78,32.0,32.7,3181
2024-09-12,33.0,33.0,32.66,32.72,5277
2024-09-13,32.7,32.7,32.26,32.66,1197
2024-09-16,32.66,33.0,32.0,32.32,1797
2024-09-17,32.7,32.88,32.36,32.4,1954
2024-09-18,32.4,32.88,32.4,32.4,945
2024-09-19,32.8,32.82,32.5,32.82,559
2024-09-20,32.88,33.1,32.52,32.52,2341
2024-09-23,32.46,32.94,32.0,32.04,7859
2024-09-24,32.22,32.8,32.22,32.68,598
2024-09-25,32.66,32.94,32.36,32.7,1148
2024-09-26,33.08,34.0,32.84,33.94,9976
2024-09-27,33.94,35.68,33.66,35.44,21076
